temps,volume,pression,massevol
0.155,0.00029946,334459,3.11925
0.165,0.00029946,334472,3.11925
0.166,0.00029946,334475,3.11925
0.167,0.00029946,334476,3.11925
0.168,0.00029946,334475,3.11925
0.169,0.00029946,334474,3.11925
0.17,0.00029946,334475,3.11925
0.171,0.00029946,334477,3.11925
0.172,0.00029946,334478,3.11925
0.173,0.00029946,334477,3.11925
0.174,0.00029946,334475,3.11925
0.156,0.00029946,334463,3.11925
0.175,0.00029946,334476,3.11925
0.176,0.00029946,334477,3.11925
0.177,0.00029946,334477,3.11925
0.178,0.00029946,334476,3.11925
0.179,0.00029946,334476,3.11925
0.18,0.00029946,334477,3.11925
0.181,0.00029946,334478,3.11925
0.182,0.00029946,334478,3.11925
0.183,0.00029946,334477,3.11925
0.184,0.00029946,334477,3.11925
0.157,0.00029946,334469,3.11925
0.185,0.00029946,334478,3.11925
0.186,0.00029946,334478,3.11925
0.187,0.00029946,334478,3.11925
0.188,0.00029946,334477,3.11925
0.189,0.00029946,334473,3.11922
0.19,0.00029946,328179,3.08005
0.191,0.00029946,321622,3.03928
0.192,0.00029946,314854,2.99701
0.193,0.00029946,307976,2.95328
0.194,0.00029946,301244,2.90821
0.158,0.00029946,334470,3.11925
0.195,0.00029946,294477,2.86185
0.196,0.00029946,287571,2.81431
0.197,0.00029946,280552,2.7657
0.198,0.00029946,273461,2.71612
0.199,0.00029946,266291,2.6657
0.2,0.00029946,259075,2.61453
0.201,0.00029946,251826,2.56272
0.202,0.00029946,244569,2.51044
0.203,0.00029946,237330,2.45781
0.204,0.00029946,230115,2.40495
0.159,0.00029946,334468,3.11925
0.205,0.00029946,222965,2.35205
0.206,0.00029946,215887,2.29922
0.207,0.00029946,208906,2.24663
0.208,0.00029946,202034,2.19441
0.209,0.00029946,195294,2.14272
0.21,0.00029946,188708,2.09172
0.211,0.00029946,182293,2.04156
0.212,0.00029946,176086,1.99241
0.213,0.00029946,170088,1.94442
0.214,0.00029946,164308,1.89776
0.16,0.00029946,334469,3.11925
0.215,0.00029946,158766,1.8526
0.216,0.00029946,153480,1.8091
0.217,0.00029946,148461,1.76743
0.218,0.00029946,143725,1.72777
0.219,0.00029946,139293,1.69027
0.22,0.00029946,135178,1.65512
0.221,0.00029946,131392,1.62249
0.222,0.00029946,127947,1.59255
0.223,0.00029946,124850,1.56548
0.224,0.00029946,122116,1.54144
0.161,0.00029946,334472,3.11925
0.225,0.00029946,119762,1.52062
0.226,0.00029946,117803,1.50319
0.227,0.00029946,116254,1.48933
0.228,0.00029946,115127,1.47922
0.229,0.00029946,114440,1.47303
0.23,0.00029946,114207,1.47092
0.231,0.00029946,113943,1.46851
0.232,0.00029946,112960,1.45961
0.233,0.00029946,112192,1.45256
0.234,0.00029946,112110,1.4519
0.162,0.00029946,334475,3.11925
0.235,0.00029946,111896,1.44982
0.236,0.00029946,111894,1.4498
0.237,0.00029946,111884,1.4498
0.238,0.00029946,111895,1.4498
0.239,0.00029946,111895,1.4498
0.24,0.00029946,111888,1.4498
0.241,0.00029946,111896,1.4498
0.242,0.00029946,111895,1.4498
0.243,0.00029946,111890,1.4498
0.244,0.00029946,111897,1.4498
0.163,0.00029946,334474,3.11925
0.245,0.00029946,111896,1.4498
0.246,0.00029946,111892,1.4498
0.247,0.00029946,111897,1.4498
0.248,0.00029946,111896,1.4498
0.249,0.00029946,111893,1.4498
0.25,0.00029946,111898,1.4498
0.164,0.00029946,334472,3.11925
