temps,volume,pression,massevol
0.125,0.00029946,102089,1.2417
0.135,0.00029946,121078,1.40582
0.136,0.00029946,136321,1.53638
0.137,0.00029946,155878,1.70198
0.138,0.00029946,179235,1.89721
0.139,0.00029946,205554,2.11324
0.14,0.00029946,233444,2.33832
0.141,0.00029946,261252,2.55849
0.142,0.00029946,287013,2.7583
0.143,0.00029946,307709,2.91411
0.144,0.00029946,320236,3.00911
0.126,0.00029946,102091,1.2417
0.145,0.00029946,323779,3.03479
0.146,0.00029946,325792,3.05035
0.147,0.00029946,330333,3.08743
0.148,0.00029946,333223,3.10975
0.149,0.00029946,333586,3.11255
0.15,0.00029946,334431,3.11925
0.151,0.00029946,334444,3.11925
0.152,0.00029946,334455,3.11925
0.153,0.00029946,334461,3.11925
0.154,0.00029946,334458,3.11925
0.127,0.00029946,102092,1.2417
0.155,0.00029946,334459,3.11925
0.128,0.00029946,102091,1.2417
0.129,0.00029946,102092,1.2417
0.13,0.00029946,102112,1.24185
0.131,0.00029946,102337,1.24369
0.132,0.00029946,103385,1.2523
0.133,0.00029946,106219,1.27623
0.134,0.00029946,111876,1.32494
