# Region type : all 
#   Cells  : 451910
#   Volume : 2.994597e-04
#        Time	volAverage(p)	volAverage(T)
        0.156	3.344632e+05	3.734906e+02
        0.157	3.344690e+05	3.735661e+02
        0.158	3.344701e+05	3.734889e+02
        0.159	3.344684e+05	3.735213e+02
         0.16	3.344691e+05	3.735522e+02
        0.161	3.344722e+05	3.734568e+02
        0.162	3.344753e+05	3.735768e+02
        0.163	3.344742e+05	3.734513e+02
        0.164	3.344721e+05	3.735421e+02
        0.165	3.344719e+05	3.735106e+02
        0.166	3.344745e+05	3.734763e+02
        0.167	3.344758e+05	3.735475e+02
        0.168	3.344750e+05	3.734680e+02
        0.169	3.344737e+05	3.735240e+02
         0.17	3.344748e+05	3.734965e+02
        0.171	3.344771e+05	3.734891e+02
        0.172	3.344776e+05	3.735115e+02
        0.173	3.344765e+05	3.734943e+02
        0.174	3.344752e+05	3.734848e+02
        0.175	3.344761e+05	3.735287e+02
        0.176	3.344773e+05	3.734603e+02
        0.177	3.344773e+05	3.735236e+02
        0.178	3.344763e+05	3.734815e+02
        0.179	3.344759e+05	3.734817e+02
         0.18	3.344772e+05	3.735227e+02
        0.181	3.344784e+05	3.734454e+02
        0.182	3.344783e+05	3.735326e+02
        0.183	3.344774e+05	3.734614e+02
        0.184	3.344771e+05	3.734984e+02
        0.185	3.344779e+05	3.734947e+02
        0.186	3.344785e+05	3.734702e+02
        0.187	3.344779e+05	3.735021e+02
        0.188	3.344771e+05	3.734768e+02
        0.189	3.344728e+05	3.734803e+02
         0.19	3.281794e+05	3.711043e+02
        0.191	3.216216e+05	3.684076e+02
        0.192	3.148539e+05	3.658015e+02
        0.193	3.079755e+05	3.631593e+02
        0.194	3.012436e+05	3.606055e+02
        0.195	2.944772e+05	3.583190e+02
        0.196	2.875707e+05	3.557600e+02
        0.197	2.805519e+05	3.532641e+02
        0.198	2.734613e+05	3.506034e+02
        0.199	2.662911e+05	3.478447e+02
          0.2	2.590745e+05	3.451161e+02
        0.201	2.518262e+05	3.421772e+02
        0.202	2.445691e+05	3.393217e+02
        0.203	2.373303e+05	3.362712e+02
        0.204	2.301150e+05	3.332749e+02
        0.205	2.229652e+05	3.301778e+02
        0.206	2.158875e+05	3.270277e+02
        0.207	2.089064e+05	3.239194e+02
        0.208	2.020338e+05	3.206629e+02
        0.209	1.952939e+05	3.175116e+02
         0.21	1.887084e+05	3.142491e+02
        0.211	1.822935e+05	3.110472e+02
        0.212	1.760861e+05	3.078937e+02
        0.213	1.700885e+05	3.047067e+02
        0.214	1.643082e+05	3.016554e+02
        0.215	1.587661e+05	2.985478e+02
        0.216	1.534799e+05	2.955762e+02
        0.217	1.484614e+05	2.926722e+02
        0.218	1.437250e+05	2.898038e+02
        0.219	1.392926e+05	2.871540e+02
         0.22	1.351776e+05	2.845581e+02
        0.221	1.313921e+05	2.821674e+02
        0.222	1.279469e+05	2.799597e+02
        0.223	1.248500e+05	2.778663e+02
